"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","26,300.0","26,359.5","26,397.0","26,239.0","","-0.25%"
"11/01/2025","26,365.0","26,306.0","26,398.5","26,275.0","","0.19%"
"10/01/2025","26,315.0","26,427.5","26,441.5","26,276.5","","-0.42%"
"09/01/2025","26,427.0","26,345.0","26,436.5","26,295.5","","0.31%"
"08/01/2025","26,345.0","26,212.5","26,457.0","26,147.5","","0.56%"
"07/01/2025","26,199.0","26,105.0","26,274.5","26,058.5","","0.30%"
"06/01/2025","26,120.5","26,025.0","26,222.5","25,980.0","","0.38%"
"05/01/2025","26,021.5","26,005.0","26,074.5","25,886.0","","0.06%"
"04/01/2025","26,005.0","25,605.0","26,130.0","25,545.0","","1.64%"
"03/01/2025","25,585.0","25,554.0","25,664.0","25,430.0","","0.12%"
"02/01/2025","25,555.0","25,025.0","25,607.0","25,025.0","","1.89%"
"01/01/2025","25,080.0","25,485.0","25,485.0","25,005.0","","-1.57%"
"12/01/2024","25,480.0","25,367.5","25,512.5","25,340.0","","0.54%"
"11/01/2024","25,344.0","25,280.0","25,435.0","25,255.0","","0.29%"
"10/01/2024","25,270.0","24,575.0","25,455.0","24,552.5","","2.91%"
"09/01/2024","24,555.0","24,875.0","24,897.5","24,520.0","","-1.23%"
"08/01/2024","24,860.0","25,200.0","25,270.0","24,800.0","","-1.49%"
"07/01/2024","25,235.0","25,450.0","25,458.5","25,235.0","","-0.83%"
"06/01/2024","25,445.0","25,440.0","25,471.5","25,404.5","","0.02%"
"05/01/2024","25,440.0","25,360.0","25,477.0","25,320.0","","0.43%"
"04/01/2024","25,330.0","24,817.5","25,465.5","24,770.0","","2.10%"
"03/01/2024","24,810.0","24,652.5","24,824.0","24,602.5","","0.69%"
"02/01/2024","24,640.0","24,414.5","24,707.5","24,330.0","","0.92%"
"01/01/2024","24,415.0","24,265.0","24,625.0","24,250.0","","0.64%"
"12/01/2023","24,260.0","24,300.0","24,391.0","24,180.0","","0.04%"
"11/01/2023","24,250.0","24,575.0","24,593.0","24,097.0","","-1.26%"
"10/01/2023","24,560.0","24,305.0","24,620.0","24,297.5","","1.15%"
"09/01/2023","24,280.0","24,120.0","24,447.5","23,995.0","","0.91%"
"08/01/2023","24,060.0","23,677.5","24,200.0","23,664.5","","1.60%"
"07/01/2023","23,680.0","23,546.5","23,790.0","23,546.5","","0.45%"
"06/01/2023","23,575.0","23,491.0","23,596.5","23,455.0","","0.38%"
"05/01/2023","23,485.0","23,452.5","23,550.0","23,411.0","","0.15%"
"04/01/2023","23,450.0","23,465.0","23,565.5","23,440.0","","0.00%"
"03/01/2023","23,450.0","23,745.0","23,790.0","23,456.0","","-1.22%"
"02/01/2023","23,740.0","23,449.0","23,870.0","23,441.5","","1.26%"
"01/01/2023","23,445.0","23,575.0","23,590.0","23,427.5","","-0.70%"
"12/01/2022","23,610.0","24,530.0","24,550.0","23,475.0","","-4.14%"
"11/01/2022","24,630.0","24,855.0","24,883.0","24,635.0","","-0.85%"
"10/01/2022","24,840.0","23,835.0","24,872.5","23,825.0","","4.13%"
"09/01/2022","23,855.0","23,470.0","23,887.5","23,445.0","","1.73%"
"08/01/2022","23,450.0","23,345.0","23,489.0","23,341.0","","0.49%"
"07/01/2022","23,335.0","23,265.0","23,460.0","23,260.0","","0.34%"
"06/01/2022","23,255.0","23,190.0","23,292.5","23,160.0","","0.30%"
"05/01/2022","23,185.0","22,964.5","23,225.0","22,937.0","","0.97%"
