Data;Ultimo;Apertura;Massimo;Minimo;Vol.;Var. %
01.12.1990;5,2352;5,2352;5,2352;5,2352;;0,00%
01.11.1990;5,2352;5,2352;5,2352;5,2352;;10,59%
01.10.1990;4,7339;4,7339;4,7339;4,7339;;0,00%
01.09.1990;4,7339;4,7339;4,7339;4,7339;;0,00%
01.08.1990;4,7339;4,7339;4,7339;4,7339;;0,00%
01.07.1990;4,7339;4,7339;4,7339;4,7339;;0,00%
01.06.1990;4,7339;4,7339;4,7339;4,7339;;0,00%
01.05.1990;4,7339;4,7339;4,7339;4,7339;;0,00%
01.04.1990;4,7339;4,7339;4,7339;4,7339;;0,00%
01.03.1990;4,7339;4,7339;4,7339;4,7339;;0,00%
01.02.1990;4,7339;4,7339;4,7339;4,7339;;0,00%
01.01.1990;4,7339;4,7339;4,7339;4,7339;;0,00%
01.12.1989;4,7339;4,7339;4,7339;4,7339;;26,87%
01.11.1989;3,7314;3,7314;3,7314;3,7314;;0,00%
01.10.1989;3,7314;3,7314;3,7314;3,7314;;0,00%
01.09.1989;3,7314;3,7314;3,7314;3,7314;;0,00%
01.08.1989;3,7314;3,7314;3,7314;3,7314;;0,00%
01.07.1989;3,7314;3,7314;3,7314;3,7314;;0,00%
01.06.1989;3,7314;3,7314;3,7314;3,7314;;0,00%
01.05.1989;3,7314;3,7314;3,7314;3,7314;;0,00%
01.04.1989;3,7314;3,7314;3,7314;3,7314;;0,00%
01.03.1989;3,7314;3,7314;3,7314;3,7314;;0,00%
01.02.1989;3,7314;3,7314;3,7314;3,7314;;0,00%
01.01.1989;3,7314;3,7314;3,7314;3,7314;;0,00%
01.12.1988;3,7314;3,7314;3,7314;3,7314;;0,00%
01.11.1988;3,7314;3,7314;3,7314;3,7314;;0,00%
01.10.1988;3,7314;3,7314;3,7314;3,7314;;0,00%
01.09.1988;3,7314;3,7314;3,7314;3,7314;;0,00%
01.08.1988;3,7314;3,7314;3,7314;3,7314;;0,00%
01.07.1988;3,7314;3,7314;3,7314;3,7314;;0,00%
01.06.1988;3,7314;3,7314;3,7314;3,7314;;0,00%
01.05.1988;3,7314;3,7314;3,7314;3,7314;;0,00%
01.04.1988;3,7314;3,7314;3,7314;3,7314;;0,00%
01.03.1988;3,7314;3,7314;3,7314;3,7314;;0,00%
01.02.1988;3,7314;3,7314;3,7314;3,7314;;0,00%
01.01.1988;3,7314;3,7314;3,7314;3,7314;;0,00%
01.12.1987;3,7314;3,7314;3,7314;3,7314;;0,00%
01.11.1987;3,7314;3,7314;3,7314;3,7314;;0,00%
01.10.1987;3,7314;3,7314;3,7314;3,7314;;0,00%
01.09.1987;3,7314;3,7314;3,7314;3,7314;;0,00%
01.08.1987;3,7314;3,7314;3,7314;3,7314;;0,00%
01.07.1987;3,7314;3,7314;3,7314;3,7314;;0,00%
01.06.1987;3,7314;3,7314;3,7314;3,7314;;0,00%
01.05.1987;3,7314;3,7314;3,7314;3,7314;;0,00%
01.04.1987;3,7314;3,7314;3,7314;3,7314;;0,00%
01.03.1987;3,7314;3,7314;3,7314;3,7314;;0,00%
01.02.1987;3,7314;3,7314;3,7314;3,7314;;0,00%
