Data;Ultimo;Apertura;Massimo;Minimo;Vol.;Var. %
01.12.2017;6,5063;6,6097;6,6241;6,5034;;-1,55%
01.11.2017;6,609;6,6349;6,6518;6,5718;;-0,36%
01.10.2017;6,6328;6,6534;6,6634;6,5704;;-0,31%
01.09.2017;6,6533;6,5899;6,6835;6,4349;;0,98%
01.08.2017;6,5888;6,7266;6,7315;6,5799;;-2,01%
01.07.2017;6,724;6,7761;6,8078;6,7213;;-0,82%
01.06.2017;6,7793;6,8008;6,8455;6,7614;;-0,45%
01.05.2017;6,8098;6,8935;6,909;6,8101;;-1,16%
01.04.2017;6,89;6,8871;6,911;6,8737;;0,10%
01.03.2017;6,8832;6,8748;6,9215;6,866;;0,24%
01.02.2017;6,8665;6,8675;6,8924;6,8508;;-0,15%
01.01.2017;6,8768;6,9567;6,9627;6,8314;;-0,95%
01.12.2016;6,943;6,8926;6,9613;6,8625;;0,86%
01.11.2016;6,8837;6,7758;6,924;6,7551;;1,63%
01.10.2016;6,7735;6,668;6,7877;6,668;;1,57%
01.09.2016;6,6685;6,6793;6,6873;6,6561;;-0,14%
01.08.2016;6,6776;6,632;6,6838;6,6137;;0,61%
01.07.2016;6,6371;6,648;6,7056;6,6361;;-0,13%
01.06.2016;6,6459;6,5863;6,6557;6,5548;;1,00%
01.05.2016;6,5798;6,4755;6,5869;6,47;;1,64%
01.04.2016;6,4738;6,4625;6,5095;6,4563;;0,40%
01.03.2016;6,448;6,5449;6,5549;6,448;;-1,59%
01.02.2016;6,5525;6,574;6,5824;6,4885;;-0,35%
01.01.2016;6,5752;6,5084;6,5972;6,5076;;1,28%
01.12.2015;6,4921;6,3976;6,495;6,3894;;1,47%
01.11.2015;6,3981;6,3202;6,399;6,3186;;1,27%
01.10.2015;6,318;6,3561;6,3693;6,3169;;-0,59%
01.09.2015;6,3556;6,3764;6,3878;6,3517;;-0,32%
01.08.2015;6,376;6,2095;6,4501;6,2085;;2,68%
01.07.2015;6,2097;6,2025;6,213;6,2001;;0,16%
01.06.2015;6,2;6,1984;6,2175;6,1936;;0,03%
01.05.2015;6,198;6,2085;6,2109;6,1922;;-0,06%
01.04.2015;6,2018;6,1996;6,221;6,1884;;0,05%
01.03.2015;6,199;6,273;6,2766;6,18;;-1,12%
01.02.2015;6,2695;6,25;6,2703;6,2368;;0,32%
01.01.2015;6,2495;6,2178;6,2568;6,1875;;0,72%
01.12.2014;6,2046;6,1431;6,2351;6,1431;;1,00%
01.11.2014;6,1429;6,1171;6,1494;6,1104;;0,50%
01.10.2014;6,1124;6,139;6,1408;6,1077;;-0,42%
01.09.2014;6,138;6,1442;6,1543;6,1248;;-0,08%
01.08.2014;6,143;6,174;6,1832;6,1363;;-0,50%
01.07.2014;6,1737;6,2035;6,2174;6,1702;;-0,48%
01.06.2014;6,2036;6,2475;6,2579;6,1993;;-0,70%
01.05.2014;6,2471;6,2529;6,263;6,2182;;-0,19%
01.04.2014;6,2591;6,2172;6,2676;6,1858;;0,69%
01.03.2014;6,2164;6,1447;6,234;6,101;;1,17%
01.02.2014;6,1448;6,0624;6,1724;6,0575;;1,40%
01.01.2014;6,06;6,0518;6,0615;6,0402;;0,10%
01.12.2013;6,0537;6,0927;6,0939;6,0502;;-0,63%
01.11.2013;6,0922;6,0947;6,1027;6,0871;;-0,03%
01.10.2013;6,0943;6,1215;6,1221;6,0802;;-0,42%
01.09.2013;6,12;6,1198;6,125;6,1143;;0,01%
01.08.2013;6,1193;6,129;6,1336;6,1098;;-0,15%
01.07.2013;6,1284;6,134;6,1451;6,1248;;-0,15%
01.06.2013;6,1374;6,1355;6,1522;6,1231;;0,05%
01.05.2013;6,1345;6,1649;6,1731;6,1206;;-0,49%
01.04.2013;6,1647;6,2108;6,2108;6,1611;;-0,74%
01.03.2013;6,2106;6,2232;6,2305;6,2083;;-0,17%
01.02.2013;6,2213;6,2216;6,2462;6,2206;;0,04%
01.01.2013;6,2188;6,23;6,2321;6,2126;;-0,18%
01.12.2012;6,2303;6,228;6,2563;6,2234;;0,06%
01.11.2012;6,2267;6,2374;6,2482;6,2207;;-0,17%
